ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh,energy_type,TotalTherms,AverageTherms,location_id,temperature_2m_mean (°C),apparent_temperature_mean (°C),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°)
92128,10,2023,R,Y,18712,0.0,0.0,gas,258100.0,14.0,96,19.141935483870967,18.60967741935484,40902.83258064516,35756.86580645161,0.3612903225806452,0.3612903225806452,0.0,1.6129032258064515,15.938709677419356,32.39677419354839,256.64516129032256
92129,10,2023,R,N,15739,0.0,0.0,gas,241796.0,15.0,97,19.345161290322583,19.01290322580645,40909.93838709678,35392.08580645161,0.3935483870967742,0.3935483870967742,0.0,1.5483870967741935,16.893548387096775,31.89032258064516,250.06451612903223
92130,10,2023,R,N,19979,0.0,0.0,gas,393065.0,20.0,98,19.248387096774195,19.358064516129037,40909.93838709678,35165.70161290323,0.2709677419354839,0.2709677419354839,0.0,1.6129032258064515,16.270967741935483,31.80322580645161,251.0967741935484
92131,10,2023,R,Y,12075,0.0,0.0,gas,209250.0,17.0,99,19.374193548387098,18.86774193548387,40917.03129032258,35288.52096774193,0.3451612903225806,0.3451612903225806,0.0,1.5483870967741935,18.08709677419355,33.96451612903226,258.96774193548384
92139,10,2023,R,N,7981,0.0,0.0,gas,144188.0,18.0,104,20.029032258064515,20.151612903225807,40938.24935483871,35667.72645161291,0.2032258064516129,0.2032258064516129,0.0,1.096774193548387,15.203225806451613,32.035483870967745,255.9032258064516
92154,10,2023,R,Y,18537,0.0,0.0,gas,317195.0,17.0,108,19.69032258064516,19.57741935483871,40945.30193548388,35789.46290322581,0.2741935483870967,0.2741935483870967,0.0,1.2903225806451613,15.36774193548387,30.05161290322581,255.4516129032258
92173,10,2023,R,N,5629,0.0,0.0,gas,91092.0,16.0,111,19.238709677419354,19.47741935483871,40945.30193548388,35486.02193548387,0.3290322580645161,0.3290322580645161,0.0,1.6129032258064515,16.68064516129032,32.2,263.80645161290323
91901,11,2023,R,Y,2156,0.0,0.0,gas,59356.0,28.0,0,15.313333333333333,12.626666666666669,37758.676666666666,31468.231000000003,2.17,2.17,0.0,2.966666666666667,15.006666666666666,33.00333333333334,164.1
91902,11,2023,R,N,4982,0.0,0.0,gas,139958.0,28.0,1,17.279999999999998,15.426666666666668,37790.314,31691.264333333333,2.063333333333333,2.063333333333333,0.0,2.333333333333333,16.02,32.666666666666664,177.16666666666666
91910,11,2023,R,Y,20027,0.0,0.0,gas,447874.0,22.0,4,16.17,14.473333333333333,37790.314,31773.23633333333,2.053333333333333,2.053333333333333,0.0,2.333333333333333,16.71,33.49333333333333,210.2333333333333
91911,11,2023,R,Y,16349,0.0,0.0,gas,403533.0,25.0,5,16.26,14.463333333333331,37806.09333333334,31837.126333333334,1.9066666666666667,1.9066666666666667,0.0,2.333333333333333,16.706666666666667,31.56,191.13333333333333
91913,11,2023,R,N,17488,0.0,0.0,gas,338157.0,19.0,6,16.8,14.83,37790.314,31691.264333333333,2.063333333333333,2.063333333333333,0.0,2.333333333333333,16.02,32.666666666666664,177.16666666666666
91914,11,2023,R,N,4957,0.0,0.0,gas,124370.0,25.0,7,16.32,14.25,37790.314,31691.264333333333,2.063333333333333,2.063333333333333,0.0,2.333333333333333,16.02,32.666666666666664,177.16666666666666
91915,11,2023,R,Y,10342,0.0,0.0,gas,209123.0,20.0,8,16.616666666666667,14.61,37790.314,31691.264333333333,2.063333333333333,2.063333333333333,0.0,2.333333333333333,16.02,32.666666666666664,177.16666666666666
91932,11,2023,R,N,7700,0.0,0.0,gas,157483.0,20.0,12,16.686666666666664,14.983333333333333,37806.09333333334,31837.126333333334,1.9066666666666667,1.9066666666666667,0.0,2.333333333333333,16.706666666666667,31.56,191.13333333333333
91935,11,2023,R,N,203,0.0,0.0,gas,9213.0,45.0,14,15.813333333333333,13.266666666666667,37774.508,31301.976333333336,2.2,2.2,0.0,2.8666666666666667,14.456666666666669,30.716666666666665,202.9
91941,11,2023,R,N,10349,0.0,0.0,gas,273869.0,26.0,15,16.78,14.47,37758.676666666666,31432.93533333333,2.0866666666666664,2.0866666666666664,0.0,2.8666666666666667,17.126666666666665,33.20333333333333,149.53333333333333
91942,11,2023,R,N,10289,0.0,0.0,gas,261448.0,25.0,16,16.173333333333332,13.88,37758.676666666666,31475.771666666667,1.846666666666667,1.846666666666667,0.0,2.5,18.176666666666662,34.10666666666667,144.2
91945,11,2023,R,N,7421,0.0,0.0,gas,154470.0,21.0,17,16.516666666666666,14.416666666666666,37774.508,31563.607333333333,1.57,1.57,0.0,2.1,17.303333333333335,33.42,171.16666666666666
91950,11,2023,R,Y,11070,0.0,0.0,gas,239789.0,22.0,19,16.243333333333332,14.576666666666666,37790.314,31773.23633333333,2.053333333333333,2.053333333333333,0.0,2.333333333333333,16.71,33.49333333333333,210.2333333333333
91977,11,2023,R,N,14674,0.0,0.0,gas,340102.0,23.0,22,16.863333333333333,14.59,37774.508,31475.355,1.9766666666666668,1.9766666666666668,0.0,2.6333333333333333,15.873333333333331,32.626666666666665,181.9
91978,11,2023,R,N,2248,0.0,0.0,gas,49763.0,22.0,23,16.513333333333332,14.173333333333334,37774.508,31475.355,1.9766666666666668,1.9766666666666668,0.0,2.6333333333333333,15.873333333333331,32.626666666666665,181.9
92003,11,2023,R,N,264,0.0,0.0,gas,8256.0,31.0,25,16.26,14.353333333333332,37647.11833333333,32039.92033333333,1.45,1.45,0.0,1.9,12.88,29.473333333333336,107.43333333333334
92004,11,2023,R,Y,282,0.0,0.0,gas,7023.0,25.0,26,18.17,14.7,37663.135,32308.571666666667,0.45,0.45,0.0,0.2333333333333333,17.32,27.9,259.1
92007,11,2023,R,N,3901,0.0,0.0,gas,94234.0,24.0,27,16.366666666666667,14.533333333333331,37711.026,32186.709,1.4733333333333332,1.4733333333333332,0.0,1.9666666666666663,16.39,31.6,157.56666666666666
92008,11,2023,R,N,9524,0.0,0.0,gas,253791.0,27.0,28,16.216666666666665,14.32,37679.125,32082.786666666667,1.2966666666666669,1.2966666666666669,0.0,2.066666666666667,15.626666666666669,31.82333333333333,148.8
92009,11,2023,R,N,14887,0.0,0.0,gas,448523.0,30.0,29,16.05,14.063333333333333,37695.08833333333,32119.905,1.5633333333333332,1.5633333333333332,0.0,2.1666666666666665,15.61,31.12333333333333,167.0
92010,11,2023,R,N,6305,0.0,0.0,gas,132602.0,21.0,30,16.19,14.293333333333331,37679.125,32082.786666666667,1.2966666666666669,1.2966666666666669,0.0,2.066666666666667,15.626666666666669,31.82333333333333,148.8
92011,11,2023,R,N,8552,0.0,0.0,gas,215176.0,25.0,31,16.303333333333335,14.353333333333332,37695.08833333333,32119.905,1.5633333333333332,1.5633333333333332,0.0,2.1666666666666665,15.61,31.12333333333333,167.0
92014,11,2023,R,N,5152,0.0,0.0,gas,185674.0,36.0,32,16.65,14.813333333333333,37726.93666666667,31954.112666666668,1.4733333333333334,1.4733333333333334,0.0,2.1333333333333333,16.89,30.92,151.26666666666668
92019,11,2023,R,N,11431,0.0,0.0,gas,316977.0,28.0,33,17.016666666666666,14.753333333333334,37758.676666666666,31432.93533333333,2.0866666666666664,2.0866666666666664,0.0,2.8666666666666667,17.126666666666665,33.20333333333333,149.53333333333333
92020,11,2023,R,N,13327,0.0,0.0,gas,416598.0,31.0,34,17.09333333333333,14.866666666666667,37758.676666666666,31432.93533333333,2.0866666666666664,2.0866666666666664,0.0,2.8666666666666667,17.126666666666665,33.20333333333333,149.53333333333333
92021,11,2023,R,N,14245,0.0,0.0,gas,414881.0,29.0,35,16.42,14.176666666666668,37742.82033333333,31239.864666666665,2.39,2.39,0.0,3.0,15.403333333333334,31.83333333333333,154.8
92024,11,2023,R,Y,15823,0.0,0.0,gas,464362.0,29.0,36,16.273333333333333,14.316666666666666,37695.08833333333,32119.905,1.5633333333333332,1.5633333333333332,0.0,2.1666666666666665,15.61,31.12333333333333,167.0
92025,11,2023,R,Y,11028,0.0,0.0,gas,287385.0,26.0,37,16.613333333333333,14.473333333333333,37695.08833333333,31824.449,1.36,1.36,0.0,2.033333333333333,16.136666666666667,33.76,157.5
